Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
5000,7.0992293,0.00029999996,-13.751274358481169,1772.5,0.005324741,-13.751274108886719
10000,None,None,None,None,0.025492698,None
15000,None,None,None,None,0.015744917,None
20000,None,None,None,None,0.018796345,None
25000,None,None,None,None,0.015670642,None
30000,None,None,None,None,0.007380691,None
35000,7.0966463,0.00029999996,-12.792058914899826,2751.5,0.0060167788,-12.792059063911438
40000,7.0962596,0.00029999996,-27.150521650910378,3823.0,0.0210497,-27.150522232055664
45000,None,None,None,None,0.05062598,None
50000,None,None,None,None,0.027338972,None
55000,None,None,None,None,0.028094491,None
60000,None,None,None,None,0.034871116,None
65000,7.097436,0.00029999999,None,None,0.009361638,None
